,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
74,AURKA,-0.025762757,CARS,0.061720887,LRFN2,0.009752773,IL17C,-0.017456446,MAPT,0.028356466
75,KCNJ6,-0.024981718,RHEB,0.064846167,UBE2S,0.011155008,ACVR2A,-0.01717647,LHX9,0.028404585
76,LRFN2,-0.024460709,ARPC3,0.069488182,EDA,0.012854523,BID,-0.016711926,NCAPG,0.02873217
77,UBE2S,-0.023676724,HM13,0.070176262,YARS2,0.01328888,UBE2C,-0.016098061,C19orf40,0.030688645
78,KIF18A,-0.023556145,YARS,0.073134595,CARS,0.013990652,ORC6L,-0.016088363,OIP5,0.033413427
79,HM13,-0.021974525,PSMB2,0.073481938,RHEB,0.015420212,PSMB2,-0.01541238,TNNT2,0.036905933
80,H2AFX,-0.019938058,PSMA4,0.074422936,MX2,0.015442409,GCKR,-0.014644737,CLEC4M,0.037802101
81,STIL,-0.018737682,DRP2,0.092854374,BID,0.015617527,NTF4,-0.014644654,KLK7,0.039862467
82,PSMA4,-0.014942954,EXD1,0.09436923,YARS,0.015943996,CCNB1,-0.014421018,SLC9A3R2,0.048764781
83,SLC9A3R2,-0.014154683,IL17C,0.094465448,ARPC3,0.016816259,RHEB,-0.014255664,GCGR,0.055918121
84,YARS,-0.013803277,NMUR2,0.099183471,S100A11,0.017744272,CARS,-0.013975737,LRFN2,0.05609902
85,MX2,-0.012601185,LRFN2,0.102346002,HM13,0.018381729,HM13,-0.013238026,HIST1H3C,0.066616997
86,SPSB2,-0.011891049,SNORA63,0.102556816,PSMB2,0.01853302,MX2,-0.012587579,ACVRL1,0.066752688
87,PSMB2,-0.010692988,SLC9A3R2,0.112355531,GDPD5,0.018980538,PYCARD,-0.01113284,ARHGDIG,0.07628853
88,C19orf40,-0.01056339,AQP10,0.121296142,CENPE,0.021907363,CCNB2,-0.010840881,POU3F2,0.077264991
89,NR0B2,-0.009014711,ACVR2A,0.12231671,ACVR2A,0.025413462,STIL,-0.010597503,PRKAA2,0.083279778
90,CCNB1,-0.007870008,B3GNT6,0.142736755,GALNTL6,0.025469162,SPSB2,-0.00965546,NPFFR2,0.085144509
91,ARPC3,-0.007625173,AKAP6,0.162870518,LEF1,0.03180624,YARS2,-0.008771662,PIK3C2G,0.098517697
92,UBE2T,-0.007481725,YSK4,0.164874181,MFAP4,0.033201284,H2AFX,-0.00863047,HSPB3,0.102087624
93,LEF1,-0.007121107,EDA,0.179800913,AQP10,0.036058165,RPL22L1,-0.006058605,GALNTL6,0.113160451
94,YARS2,-0.001701568,DNAI2,0.185435777,KLK7,0.037546891,GABRA3,-0.005620546,NTF4,0.121835406
95,S100A11,-0.001654333,ACVRL1,0.194036356,OTX1,0.046206026,LEF1,-0.003712406,EXD1,0.125706334
96,ACVRL1,-0.001397669,PRKAA2,0.196393039,CNGA3,0.050091003,UBE2T,-0.003090378,DNAI2,0.133299624
97,RHEB,0.005732338,LHX9,0.213173309,AKAP6,0.05818517,ACVRL1,-0.001771255,IRF6,0.134387089
98,HS3ST5,0.005895119,ITPKA,0.225802843,GUCA1A,0.060022449,AURKA,0.003122627,CNTN5,0.14529655
99,CEACAM8,0.007487543,NTF4,0.243848992,PPP1R1B,0.069530272,KIF18A,0.0058903,IL17C,0.148197512
100,GCKR,0.009804968,MAPT,0.253657538,LHX9,0.079284258,UBE2S,0.011510989,ITPKA,0.178242951
101,EDA,0.016207945,GALNTL6,0.266069642,IGF2BP3,0.080119702,INHBE,0.014136285,MUC15,0.194210834
102,ACVR2A,0.019380092,NPFFR2,0.269492065,PLA2G4F,0.084471183,AKAP6,0.019874703,PCDH15,0.22553894
103,GUCA1A,0.019840995,GCKR,0.275128032,GABRA3,0.089436342,HSPB3,0.025431246,GUCA1A,0.235485253
104,PCDH15,0.019852423,OTX1,0.277257738,GDNF,0.101167966,C19orf40,0.025488116,SERPINB5,0.263821732
105,OXT,0.027742789,IRF6,0.310680294,PRTN3,0.117066655,LHX9,0.045420939,HS3ST5,0.282599904
106,AKAP6,0.041863614,C4BPB,0.328612238,PIK3C2G,0.117384743,ARHGDIG,0.095023829,LHB,0.284321667
107,PRKAA2,0.042445253,TFF1,0.335382479,MYBPC1,0.138240203,CDH10,0.148455562,NR5A1,0.299812585
108,LHX9,0.052674704,GABRA3,0.379325862,DPP10,0.169256066,PRTN3,0.16472559,ZFP42,0.306674711
109,DRD2,0.053589287,GDNF,0.412009744,INHBE,0.174531115,PTPRQ,0.225328756,OXT,0.30744547
110,CDH10,0.061486976,CLEC4M,0.446513634,SNORA63,0.175950216,DUOXA1,0.257579958,GABRA3,0.308071944
111,GALNTL6,0.070728563,HPSE2,0.475069175,HRG,0.183452962,TNNT2,0.400443811,IGF2BP3,0.31711875
112,ARHGDIG,0.080629226,KRT4,0.482524582,NR5A1,0.184256887,DPP10,0.418112984,INHBE,0.346675595
113,MYBPC1,0.08421559,OXT,0.488832729,IRF6,0.193192207,MUC15,0.466787691,MMP8,0.401226634
114,LHB,0.086954917,TTR,0.513635042,GABRA2,0.205311282,DRD2,0.475818233,DPP10,0.409765805
115,CDK5R2,0.090720402,UCN2,0.566603662,ITPKA,0.218410257,PAK7,0.518229976,GCKR,0.476450587
116,MC4R,0.100660709,GUCA1A,0.577225108,OXT,0.2232782,CEACAM8,0.526395888,PAK7,0.497096541
117,SNORA63,0.115430305,MC4R,0.583212679,HSPB3,0.226099158,PIK3C2G,0.540595191,PLA2G4F,0.497498795
118,COL2A1,0.116340665,HS3ST5,0.599140424,HS3ST5,0.25687704,ONECUT1,0.638099323,GABRA2,0.527488882
119,TNNT2,0.128293526,GRIA2,0.66775104,DRD2,0.257540341,MYBPC1,0.656939833,CNGA3,0.554474921
120,ITPKA,0.162043373,SERPINB5,0.680139843,ACVRL1,0.260716716,PLA2G4F,0.713356505,ATP12A,0.561094946
121,MUC15,0.188333782,KCNJ6,0.684075483,MUC15,0.322961943,KLK7,0.814023774,PTPRQ,0.610215913
122,INHBE,0.200574219,MMP3,0.752061326,PCDH15,0.334489154,INSM1,0.815948184,C10orf90,0.631750002
123,CNTN5,0.283299046,NR0B2,0.804269846,CNTN5,0.336184003,ATP12A,1.082257543,GRIA2,0.666477336
124,KRT4,0.294920798,HRG,0.862544942,MMP8,0.350513023,MMP8,1.898535225,IVL,0.728277112
125,IRF6,0.315850496,C10orf90,0.933960894,GCKR,0.479956221,GCGR,2.350515495,ONECUT1,0.760163168
126,PLA2G4F,1.137894347,COL2A1,1.017001601,CDH10,0.503830938,COL2A1,2.955211508,KCNJ6,0.896259782
127,ATP12A,1.177950437,PCDH15,1.053070254,ARHGDIG,0.839724535,AQP10,3.057602266,OTX1,0.89724618
128,GCGR,1.188463098,CPB2,1.29670933,ONECUT1,1.169674675,FXYD4,3.520494712,INSM1,0.905835787
129,GABRA2,1.227533382,ZFP42,2.258733753,AHSG,1.480968607,GATA4,4.357738645,GATA4,1.217025626
130,CALCA,2.077764645,ADH4,2.724508689,COL2A1,2.078742784,CALCA,6.331965842,FXYD4,2.948654865
131,FXYD4,2.272467957,IVL,3.420149039,NR0B2,4.599522817,NR0B2,7.637684527,CALCA,4.70672005
