,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
94,DRP2,0.006292011,IL17C,0.087811751,UCN2,0.000816617,KCNJ6,0.107379738,OIP5,0.016778209
95,ARHGDIG,0.006745918,HIST1H3C,0.088269329,NCAPG,0.0008329,KLK7,0.108272247,NCAPG,0.016973735
96,HSPB3,0.010877732,KCNJ6,0.097645233,CENPA,0.001060156,TNNT2,0.108305687,CENPA,0.01699422
97,SNORA63,0.010902009,LHB,0.105485126,OIP5,0.001122426,NR5A1,0.11299226,NUF2,0.017202727
98,TFF1,0.011223719,B3GNT6,0.10553482,NPFFR2,0.001532797,ADH4,0.11694097,LRFN2,0.017545668
99,MUC15,0.014907617,LRFN2,0.105625058,HS3ST5,0.003283773,NR0B2,0.125055465,POU3F2,0.017718517
100,MMP8,0.017403758,EXD1,0.106794796,GUCA1A,0.018019869,ONECUT1,0.126126524,DRP2,0.022391781
101,GUCA1A,0.018758761,LEF1,0.112588155,TNNT2,0.018641852,TTR,0.129781752,CNGA3,0.026179643
102,SERPINB5,0.021875508,TTR,0.113878738,MUC15,0.026914575,PPP1R1B,0.132380198,GCKR,0.027986506
103,PTPRQ,0.022056176,FXYD4,0.119446151,TTR,0.03275715,PRTN3,0.133761454,AHSG,0.029513502
104,CNGA3,0.022225176,GABRA3,0.136037478,GATA4,0.036756295,ITPKA,0.202967102,KCNJ6,0.034808934
105,PLA2G4F,0.022345805,ONECUT1,0.139157777,MC4R,0.038837529,C4BPB,0.203267931,LEF1,0.035404889
106,C4BPB,0.022408888,TNNT2,0.159106931,PTPRQ,0.039751001,GCKR,0.217817684,HPSE2,0.037255767
107,UCN2,0.024834207,UCN2,0.177104567,MFAP4,0.058449083,MFAP4,0.21843172,FXYD4,0.037576612
108,NR5A1,0.025356537,MYBPC1,0.182291361,C4BPB,0.060337376,DRD2,0.249068907,ITPKA,0.037993153
109,MFAP4,0.026298558,GCKR,0.182794922,ADH4,0.0618732,GCGR,0.255995397,KLK7,0.041301154
110,EXD1,0.026417646,GUCA1A,0.183317147,CDK5R2,0.069574947,ARHGDIG,0.258113101,GRIA2,0.041569186
111,HIST1H3C,0.026529684,ITPKA,0.186866103,LHX9,0.071657895,CDK5R2,0.279983009,LHX9,0.041651468
112,B3GNT6,0.026547073,KLK7,0.188942542,KLK7,0.075973896,CEACAM8,0.295511633,INSM1,0.04355634
113,IL17C,0.026591831,MUC15,0.191055745,MYBPC1,0.079440049,SERPINB5,0.411643935,HSPB3,0.047684517
114,LHX9,0.026636744,PLA2G4F,0.19364976,HPSE2,0.081516695,AHSG,0.429591934,NR5A1,0.047938537
115,LHB,0.026672337,ATP12A,0.209277103,KRT4,0.082959494,HSPB3,0.436699879,SERPINB5,0.048754212
116,LRFN2,0.027037309,LHX9,0.212876774,DRD2,0.084774717,DPP10,0.462435104,PRTN3,0.049015824
117,DRD2,0.027038965,NR5A1,0.229225787,SERPINB5,0.085120858,GABRA3,0.463043891,DRD2,0.050475511
118,MYBPC1,0.027046215,ARHGDIG,0.262892774,NR5A1,0.085234041,HRG,0.467647624,MYBPC1,0.050618519
119,CDK5R2,0.02739203,HPSE2,0.273960072,GABRA3,0.087462898,GDNF,0.478838221,GCGR,0.051419161
120,TTR,0.02810963,PPP1R1B,0.276998981,HIST1H3C,0.097221684,ATP12A,0.497372045,PCDH15,0.056123137
121,COL2A1,0.028306458,GCGR,0.300572029,LRFN2,0.097862828,TFF1,0.540583483,GATA4,0.068812359
122,AQP10,0.028702467,C4BPB,0.314131667,IL17C,0.100518103,MMP3,0.545679366,MMP8,0.069432498
123,KRT4,0.033317204,MFAP4,0.319979318,LHB,0.10121138,AQP10,0.549679578,MFAP4,0.075652356
124,MC4R,0.035208327,DRD2,0.344816567,B3GNT6,0.101296304,IVL,0.564055042,HS3ST5,0.076042921
125,CNTN5,0.0395337,CEACAM8,0.356416478,EXD1,0.101895256,HPSE2,0.588191751,MMP3,0.076609199
126,CPB2,0.040926757,HS3ST5,0.374168568,SNORA63,0.104607391,CPB2,0.735442727,CDK5R2,0.078712647
127,PPP1R1B,0.073215224,CDK5R2,0.387051906,GABRA2,0.10486128,HS3ST5,0.740676287,CEACAM8,0.079621669
128,ATP12A,0.074039972,CPB2,0.442118895,PLA2G4F,0.205492405,CALCA,0.776357054,CALCA,0.084233687
129,GABRA2,0.995124153,MMP8,0.501230968,NR0B2,0.425536968,MMP8,0.918879595,CPB2,0.090119656
130,GCKR,1.022154409,HSPB3,0.626224566,AQP10,0.74494469,GATA4,1.094247701,C4BPB,0.096981151
131,PIK3C2G,2.740810926,GATA4,0.859381927,COL2A1,0.869732274,PIK3C2G,1.104917134,PIK3C2G,2.293817569
