,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
71,GALNTL6,-0.000125944,CNTN5,0.036172779,ERCC6L,0.000213527,SLC9A3R2,0.021963634,PSMB2,0.000284089
72,CENPF,-0.000100261,CNGA3,0.037347484,YARS,0.000237792,NCAPG,0.022013818,CLEC4M,0.000294207
73,CLEC4M,-9.90E-05,PCDH15,0.03813083,PSMA4,0.000249072,MAPT,0.02208017,GALNTL6,0.000302926
74,GDNF,-8.98E-05,PTPRQ,0.040984404,ACVR2A,0.000259378,PRKAA2,0.022090957,HM13,0.000310544
75,YARS2,-8.76E-05,NR0B2,0.041190082,TOP2A,0.000274743,NUF2,0.022135972,HPSE2,0.000346272
76,RPL22L1,-7.88E-05,KRT4,0.043113659,CENPE,0.000289035,FXYD4,0.022207061,YSK4,0.000420556
77,PYCARD,-7.78E-05,SNORA63,0.048857797,KIF14,0.000394403,LRFN2,0.022723079,DUOXA1,0.002665612
78,AURKA,-7.06E-05,MC4R,0.049752507,NEK2,0.000417748,IRF6,0.023039288,LEF1,0.002871201
79,STIL,-6.30E-05,IL17C,0.051681045,AKAP6,0.000440522,EXD1,0.023851916,C4BPB,0.00297822
80,CHEK2,-6.08E-05,HIST1H3C,0.052089868,NMUR2,0.00051955,B3GNT6,0.024134891,TFF1,0.003032314
81,H2AFX,-5.24E-05,C10orf90,0.053608132,EDA,0.000799318,LHB,0.024154625,CNTN5,0.003341876
82,SPSB2,-3.64E-05,INSM1,0.057184522,PTPRQ,0.002476261,PLA2G4F,0.029052341,ONECUT1,0.004628929
83,ORC6L,-3.49E-05,PRTN3,0.067559876,ITPKA,0.00248416,DRP2,0.039601911,KIF14,0.005039185
84,CCNB1,-3.48E-05,LHB,0.069219156,POU3F2,0.004290791,ADH4,0.043533452,NEK2,0.005045773
85,LEF1,-9.98E-06,B3GNT6,0.06925879,LEF1,0.004717106,NR0B2,0.065567304,CENPE,0.005276872
86,OIP5,8.89E-06,GRIA2,0.070283703,NPFFR2,0.00796326,PCDH15,0.098245762,BUB1,0.005278661
87,NTF4,1.98E-05,EXD1,0.070447014,OIP5,0.008693533,IGF2BP3,0.101063248,ERCC6L,0.005524844
88,UBE2S,2.67E-05,LRFN2,0.070604193,CENPA,0.008794617,GRIA2,0.103784315,CCNB2,0.005526584
89,UBE2T,0.000141419,IGF2BP3,0.072775584,NCAPG,0.009047609,MYBPC1,0.105477874,KIF18A,0.005540316
90,C19orf40,0.000195193,TTR,0.084944237,DNAI2,0.009138704,C10orf90,0.109221857,SKA1,0.005545
91,KIF18A,0.000206323,KCNJ6,0.111371107,SLC9A3R2,0.009333954,LEF1,0.117085184,CEP55,0.005550059
92,DUOXA1,0.000513532,LEF1,0.112616245,PRKAA2,0.00940706,GUCA1A,0.120585067,UBE2C,0.005682837
93,CDH10,0.000570237,TNNT2,0.143501832,NUF2,0.009466805,LHX9,0.123896191,ACVR2A,0.006168337
94,TFF1,0.00062425,AHSG,0.146247431,PCDH15,0.010377299,ONECUT1,0.124104949,MC4R,0.006554928
95,DRP2,0.002102908,MYBPC1,0.146276819,TTR,0.015932225,PPP1R1B,0.125282142,AKAP6,0.006718554
96,IVL,0.002955026,PLA2G4F,0.147935168,UCN2,0.024347535,KLK7,0.126883265,HS3ST5,0.008410547
97,GATA4,0.016917249,KLK7,0.150538621,MC4R,0.025309495,KCNJ6,0.134999822,MFAP4,0.008823004
98,MMP8,0.021024493,UCN2,0.168604037,MMP3,0.026169972,MUC15,0.13702418,TNNT2,0.008913109
99,GUCA1A,0.031692669,GUCA1A,0.169558361,ONECUT1,0.028472182,UCN2,0.138657936,PLA2G4F,0.010466491
100,UCN2,0.032833964,MUC15,0.170481887,GUCA1A,0.030510865,TNNT2,0.140053513,PCDH15,0.011109592
101,MUC15,0.035837117,LHX9,0.177017135,HS3ST5,0.030981946,TTR,0.141891327,GRIA2,0.013606153
